"1:2,0.32","3:5,0.45","5:3,0.74","7:9,0.35","9:7,0.32","11:2,0.43","13:9,0.66","15:9,0.42","17:9,0.55","19:8,0.65","21:1,0.76","23:3,0.72","25:6,0.47","27:4,0.87","29:6,0.36","31:7,0.36","34:6,0.66","36:1,0.74","38:9,0.37","40:7,0.35","42:5,0.8","44:6,0.65","46:2,0.33","48:4,0.76","50:2,0.81","52:2,0.53","54:8,0.68","56:6,0.4","58:6,0.43","60:5,0.72","62:2,0.67","64:3,0.62","66:4,0.4","68:7,0.46","70:9,0.43","72:6,0.81","74:1,0.44"
"1:1,0.78","3:7,0.46","5:4,0.85","7:6,0.43","9:8,0.54","12:8,0.39","13:3,0.45","15:9,0.62","17:7,0.84","19:7,0.52","21:3,0.61","23:2,0.75","25:2,0.39","27:3,0.78","29:7,0.66","31:7,0.53","34:8,0.62","36:9,0.82","38:1,0.71","40:2,0.71","42:9,0.75","44:6,0.37","46:7,0.39","48:1,0.87","50:5,0.88","52:3,0.6","54:2,0.82","56:5,0.81","58:9,0.67","60:3,0.52","62:3,0.62","64:9,0.85","66:6,0.59","68:2,0.86","70:5,0.44","72:4,0.83","74:2,0.35"
"1:8,0.79","3:9,0.76","5:3,0.7","7:9,0.4","9:9,0.82","12:7,0.88","13:9,0.75","16:4,0.73","17:7,0.9","19:6,0.56","21:9,0.57","23:4,0.43","25:6,0.31","27:9,0.44","29:4,0.3","31:1,0.44","34:1,0.82","36:2,0.61","38:5,0.7","40:4,0.62","42:8,0.45","44:8,0.78","46:4,0.36","48:7,0.51","50:7,0.58","52:1,0.7","54:2,0.34","56:6,0.78","58:2,0.45","60:4,0.62","62:3,0.55","64:5,0.58","66:2,0.57","68:9,0.36","70:9,0.8","72:2,0.86","74:4,0.4"
"1:8,0.59","3:7,0.84","5:3,0.53","7:7,0.46","9:8,0.47","11:9,0.7","13:8,0.39","15:5,0.43","17:1,0.65","20:9,0.34","21:6,0.33","23:8,0.6","25:9,0.39","27:9,0.35","29:3,0.34","31:2,0.71","34:4,0.54","36:4,0.65","38:1,0.67","40:7,0.69","42:9,0.49","44:5,0.42","47:6,0.44","48:7,0.38","50:5,0.57","52:2,0.31","54:2,0.34","56:4,0.6","58:3,0.86","60:2,0.83","62:6,0.47","64:8,0.8","66:5,0.67","68:9,0.3","70:9,0.48","72:2,0.86","74:3,0.46"
"1:2,0.75","3:3,0.46","5:4,0.73","7:4,0.71","9:5,0.6","11:5,0.84","13:1,0.36","15:7,0.8","17:1,0.3","19:3,0.68","21:5,0.4","23:8,0.63","25:7,0.64","27:2,0.35","29:3,0.63","31:6,0.65","34:3,0.56","36:1,0.48","38:1,0.84","40:4,0.71","42:2,0.51","44:9,0.83","46:7,0.88","48:3,0.86","51:4,0.82","52:3,0.83","54:1,0.41","56:6,0.77","58:7,0.78","60:4,0.46","62:2,0.53","64:1,0.82","66:4,0.42","68:8,0.51","70:4,0.43","72:4,0.54","74:5,0.82"
"1:5,0.51","3:9,0.54","5:9,0.5","7:1,0.37","9:5,0.41","11:5,0.32","13:7,0.51","15:6,0.56","17:9,0.37","19:4,0.45","21:7,0.3","23:9,0.71","25:4,0.52","27:2,0.87","29:6,0.67","31:2,0.73","34:5,0.6","36:7,0.5","38:5,0.63","40:4,0.55","42:7,0.71","44:3,0.67","46:5,0.54","48:1,0.48","51:4,0.56","52:6,0.58","54:8,0.71","56:9,0.58","58:3,0.7","60:5,0.61","63:6,0.36","64:4,0.7","66:4,0.78","68:3,0.31","70:4,0.89","72:2,0.57","74:4,0.73"
"1:7,0.6","3:4,0.39","5:1,0.84","7:2,0.77","9:4,0.41","11:9,0.58","13:9,0.45","15:2,0.57","17:8,0.7","20:9,0.66","21:8,0.67","23:9,0.56","25:9,0.57","27:3,0.75","29:8,0.57","31:4,0.8","34:5,0.76","36:9,0.59","38:4,0.46","40:2,0.73","42:4,0.46","44:6,0.84","47:2,0.38","48:4,0.53","51:3,0.72","52:2,0.55","54:6,0.63","56:7,0.34","58:7,0.53","60:1,0.81","62:7,0.59","64:6,0.48","66:7,0.81","68:7,0.62","70:9,0.78","72:4,0.59","74:5,0.56"
"1:1,0.53","3:7,0.73","5:8,0.85","7:9,0.32","9:7,0.66","12:1,0.35","13:7,0.38","15:8,0.41","17:5,0.53","19:4,0.57","21:6,0.76","24:7,0.47","25:7,0.45","27:2,0.58","29:9,0.33","31:6,0.43","34:2,0.77","36:1,0.75","38:4,0.42","40:1,0.67","42:4,0.38","44:2,0.64","46:4,0.58","48:5,0.76","50:3,0.66","52:2,0.77","54:3,0.88","56:2,0.65","58:5,0.65","60:7,0.54","62:4,0.35","64:4,0.36","66:5,0.81","68:2,0.78","70:1,0.51","72:7,0.7","74:2,0.6"
"1:6,0.31","3:7,0.79","5:2,0.56","7:6,0.68","9:8,0.72","11:7,0.41","13:9,0.88","15:5,0.67","17:9,0.76","19:8,0.56","21:5,0.49","24:4,0.8","25:2,0.47","27:8,0.45","29:8,0.64","31:7,0.5","34:8,0.81","36:3,0.59","38:6,0.78","40:6,0.47","42:5,0.63","44:9,0.87","46:2,0.44","48:7,0.59","50:4,0.71","52:8,0.57","54:1,0.36","56:4,0.54","58:4,0.48","60:6,0.58","62:9,0.51","65:9,0.5","66:8,0.46","68:5,0.44","70:4,0.49","72:9,0.87","74:3,0.41"
"1:8,0.47","3:9,0.66","5:2,0.8","7:5,0.44","9:3,0.48","11:9,0.38","13:1,0.88","16:9,0.48","17:3,0.68","19:8,0.36","21:1,0.64","24:8,0.59","25:6,0.41","27:1,0.45","29:8,0.37","31:2,0.54","34:2,0.65","36:1,0.39","38:5,0.35","40:4,0.37","42:7,0.66","44:4,0.77","46:7,0.57","48:8,0.48","50:7,0.48","52:1,0.67","54:2,0.87","56:4,0.68","58:5,0.7","60:3,0.44","62:9,0.35","64:1,0.55","66:8,0.47","68:4,0.47","70:5,0.72","72:8,0.34","74:4,0.85"
