"1:2,0.32","5:5,0.45","12:3,0.74","21:9,0.35","23:7,0.32","25:2,0.43","36:9,0.66","39:9,0.42","42:9,0.55","53:8,0.65","56:1,0.76","57:3,0.72","67:6,0.47","71:4,0.87","79:6,0.36","88:7,0.36","90:6,0.66","94:1,0.74","97:9,0.37","104:7,0.35","113:5,0.8","120:6,0.65","128:2,0.33"
"1:4,0.76","5:2,0.81","12:2,0.53","21:8,0.68","23:6,0.4","25:6,0.43","36:5,0.72","39:2,0.67","42:3,0.62","53:4,0.4","56:7,0.46","57:9,0.43","67:6,0.81","71:1,0.44","79:1,0.78","88:7,0.46","90:4,0.85","94:6,0.43","97:8,0.54","104:8,0.39","108:3,0.45","120:9,0.62","128:7,0.84"
"1:7,0.52","5:3,0.61","12:2,0.75","21:2,0.39","23:3,0.78","25:7,0.66","36:7,0.53","39:8,0.62","42:9,0.82","50:1,0.71","56:2,0.71","57:9,0.75","67:6,0.37","71:7,0.39","79:1,0.87","88:5,0.88","90:3,0.6","94:2,0.82","97:5,0.81","104:9,0.67","113:3,0.52","120:3,0.62","128:9,0.85"
"1:6,0.59","5:2,0.86","12:5,0.44","21:4,0.83","23:2,0.35","25:8,0.79","36:9,0.76","39:3,0.7","42:9,0.4","50:9,0.82","56:7,0.88","57:9,0.75","67:4,0.73","71:7,0.9","79:6,0.56","88:9,0.57","90:4,0.43","94:6,0.31","97:9,0.44","104:4,0.3","108:1,0.44","120:1,0.82","128:2,0.61"
"1:5,0.7","5:4,0.62","12:8,0.45","21:8,0.78","23:4,0.36","25:7,0.51","36:7,0.58","39:1,0.7","42:2,0.34","44:6,0.78","56:2,0.45","57:4,0.62","67:3,0.55","71:5,0.58","79:2,0.57","88:9,0.36","90:9,0.8","94:2,0.86","97:4,0.4","104:8,0.59","113:7,0.84","120:3,0.53","128:7,0.46"
"1:8,0.47","5:9,0.7","12:8,0.39","21:5,0.43","23:1,0.65","25:9,0.34","36:6,0.33","39:8,0.6","42:9,0.39","44:9,0.35","56:3,0.34","57:2,0.71","67:4,0.54","71:4,0.65","79:1,0.67","88:7,0.69","90:9,0.49","94:5,0.42","97:6,0.44","104:7,0.38","108:5,0.57","120:2,0.31","128:2,0.34"
"1:4,0.6","5:3,0.86","12:2,0.83","21:6,0.47","23:8,0.8","26:5,0.67","36:9,0.3","39:9,0.48","42:2,0.86","53:3,0.46","56:2,0.75","57:3,0.46","67:4,0.73","71:4,0.71","79:5,0.6","88:5,0.84","90:1,0.36","94:7,0.8","97:1,0.3","104:3,0.68","113:5,0.4","120:8,0.63","128:7,0.64"
"1:2,0.35","5:3,0.63","12:6,0.65","21:3,0.56","23:1,0.48","26:1,0.84","36:4,0.71","39:2,0.51","42:9,0.83","53:7,0.88","56:3,0.86","57:4,0.82","67:3,0.83","71:1,0.41","79:6,0.77","88:7,0.78","90:4,0.46","94:2,0.53","97:1,0.82","104:4,0.42","108:8,0.51","120:4,0.43","128:4,0.54"
"1:5,0.82","5:5,0.51","12:9,0.54","21:9,0.5","23:1,0.37","26:5,0.41","36:5,0.32","39:7,0.51","42:6,0.56","50:9,0.37","56:4,0.45","57:7,0.3","67:9,0.71","71:4,0.52","79:2,0.87","88:6,0.67","90:2,0.73","94:5,0.6","97:7,0.5","104:5,0.63","113:4,0.55","120:7,0.71","128:3,0.67"
"1:5,0.54","5:1,0.48","12:4,0.56","21:6,0.58","23:8,0.71","26:9,0.58","36:3,0.7","39:5,0.61","42:6,0.36","50:4,0.7","56:4,0.78","57:3,0.31","67:4,0.89","71:2,0.57","79:4,0.73","88:7,0.6","90:4,0.39","94:1,0.84","97:2,0.77","104:4,0.41","108:9,0.58","120:9,0.45","128:2,0.57"
"1:8,0.7","5:9,0.66","12:8,0.67","21:9,0.56","23:9,0.57","26:3,0.75","36:8,0.57","39:4,0.8","42:5,0.76","44:9,0.59","56:4,0.46","57:2,0.73","67:4,0.46","71:6,0.84","79:2,0.38","88:4,0.53","90:3,0.72","94:2,0.55","97:6,0.63","104:7,0.34","113:7,0.53","120:1,0.81","128:7,0.59"
"1:6,0.48","5:7,0.81","12:7,0.62","21:9,0.78","23:4,0.59","26:5,0.56","36:1,0.53","39:7,0.73","42:8,0.85","44:9,0.32","56:7,0.66","57:1,0.35","67:7,0.38","71:8,0.41","79:5,0.53","88:4,0.57","90:6,0.76","94:7,0.47","97:7,0.45","104:2,0.58","108:9,0.33","120:6,0.43","128:2,0.77"
"1:1,0.75","5:4,0.42","12:1,0.67","22:4,0.38","23:2,0.64","25:4,0.58","36:5,0.76","39:3,0.66","42:2,0.77","53:3,0.88","56:2,0.65","57:5,0.65","67:7,0.54","71:4,0.35","79:4,0.36","88:5,0.81","90:2,0.78","94:1,0.51","97:7,0.7","104:2,0.6","113:6,0.31","120:7,0.79","128:2,0.56"
"1:6,0.68","5:8,0.72","12:7,0.41","22:9,0.88","23:5,0.67","25:9,0.76","36:8,0.56","39:5,0.49","42:4,0.8","53:2,0.47","56:8,0.45","57:8,0.64","67:7,0.5","71:8,0.81","79:3,0.59","88:6,0.78","90:6,0.47","94:5,0.63","97:9,0.87","104:2,0.44","108:7,0.59","120:4,0.71","128:8,0.57"
"1:1,0.36","5:4,0.54","12:4,0.48","22:6,0.58","23:9,0.51","25:9,0.5","36:8,0.46","39:5,0.44","42:4,0.49","50:9,0.87","56:3,0.41","57:8,0.47","67:9,0.66","71:2,0.8","79:5,0.44","88:3,0.48","90:9,0.38","94:1,0.88","97:9,0.48","104:3,0.68","113:8,0.36","120:1,0.64","128:8,0.59"
"1:6,0.41","5:1,0.45","12:8,0.37","22:2,0.54","23:2,0.65","25:1,0.39","36:5,0.35","39:4,0.37","42:7,0.66","50:4,0.77","56:7,0.57","57:8,0.48","67:7,0.48","71:1,0.67","79:2,0.87","88:4,0.68","90:5,0.7","94:3,0.44","97:9,0.35","104:1,0.55","108:8,0.47","120:4,0.47","128:5,0.72"
"1:8,0.34","5:4,0.85","12:4,0.56","22:9,0.43","23:3,0.85","25:3,0.34","36:3,0.78","39:5,0.56","42:8,0.71","44:7,0.87","56:9,0.62","57:8,0.35","67:1,0.83","71:6,0.66","79:1,0.35","88:1,0.9","90:5,0.65","94:3,0.58","97:8,0.85","104:3,0.9","113:7,0.68","120:8,0.88","128:8,0.51"
"1:6,0.49","5:2,0.81","12:6,0.55","22:8,0.47","23:7,0.79","25:9,0.32","36:2,0.49","39:6,0.37","42:7,0.82","44:1,0.69","56:9,0.58","57:1,0.41","67:6,0.67","71:8,0.68","79:1,0.42","88:9,0.38","90:5,0.56","94:8,0.37","97:4,0.73","104:5,0.63","108:9,0.54","120:4,0.9","128:2,0.58"
"1:2,0.69","5:3,0.6","12:5,0.61","22:5,0.55","23:8,0.89","26:4,0.57","36:3,0.53","39:9,0.75","42:3,0.82","53:5,0.76","56:7,0.5","57:9,0.46","67:1,0.47","71:5,0.8","79:8,0.82","88:8,0.62","90:6,0.5","94:9,0.53","97:6,0.82","104:4,0.64","113:4,0.81","120:7,0.33","128:8,0.72"
"1:7,0.53","5:3,0.6","12:1,0.38","22:6,0.82","23:8,0.36","26:8,0.31","36:3,0.55","39:3,0.34","42:5,0.5","53:7,0.69","56:6,0.81","57:9,0.53","67:6,0.68","71:8,0.82","79:1,0.67","88:4,0.68","90:5,0.9","94:2,0.56","97:2,0.76","104:2,0.57","108:5,0.84","120:1,0.49","128:1,0.48"
"1:6,0.56","5:4,0.62","12:3,0.4","22:2,0.67","23:7,0.67","26:4,0.6","36:3,0.44","39:5,0.58","42:1,0.84","50:8,0.84","56:9,0.39","57:8,0.87","67:5,0.68","71:7,0.71","79:8,0.81","88:4,0.9","90:8,0.36","94:7,0.64","97:5,0.9","104:5,0.31","113:7,0.46","120:1,0.85","128:8,0.8"
"1:5,0.77","5:4,0.66","12:6,0.43","22:4,0.67","23:3,0.68","26:1,0.49","36:8,0.32","39:6,0.74","42:2,0.85","50:6,0.75","56:3,0.42","57:9,0.83","67:6,0.62","71:5,0.8","79:5,0.85","88:8,0.88","90:5,0.75","94:6,0.78","97:8,0.88","104:3,0.75","108:4,0.82","120:7,0.88","128:9,0.52"
"1:7,0.31","5:9,0.37","12:6,0.7","22:5,0.65","23:6,0.37","26:4,0.58","36:9,0.5","39:4,0.69","42:8,0.85","44:5,0.69","56:2,0.38","57:1,0.48","67:8,0.37","71:4,0.83","79:3,0.53","88:6,0.7","90:9,0.55","94:3,0.83","97:2,0.8","104:7,0.86","113:5,0.32","120:6,0.43","128:8,0.87"
"1:6,0.36","5:6,0.63","12:6,0.34","22:5,0.41","23:2,0.87","26:8,0.36","36:4,0.69","39:1,0.33","42:6,0.45","44:3,0.77","56:4,0.34","57:9,0.42","67:4,0.79","71:4,0.5","79:3,0.77","88:1,0.47","90:3,0.89","94:9,0.45","97:3,0.37","104:1,0.38","108:6,0.77","120:4,0.65","128:1,0.4"
"1:1,0.38","5:7,0.62","9:2,0.59","21:6,0.61","23:2,0.57","25:4,0.87","36:1,0.74","39:9,0.48","42:1,0.34","53:8,0.81","56:7,0.71","57:8,0.73","67:8,0.34","71:2,0.49","79:3,0.34","88:5,0.67","90:9,0.73","94:7,0.9","97:9,0.48","104:9,0.66","113:2,0.78","120:2,0.81","128:9,0.73"
"1:4,0.56","5:4,0.55","9:8,0.54","21:2,0.49","23:6,0.7","25:6,0.87","36:8,0.34","39:2,0.36","42:2,0.75","53:6,0.79","56:9,0.34","57:9,0.64","67:2,0.55","71:7,0.82","79:1,0.88","88:5,0.51","90:9,0.43","94:8,0.43","97:2,0.51","104:9,0.52","108:5,0.64","120:7,0.81","128:9,0.32"
"1:5,0.32","5:5,0.72","9:5,0.85","21:6,0.3","23:3,0.64","25:7,0.34","36:1,0.36","39:9,0.43","42:7,0.57","50:3,0.52","56:6,0.77","57:2,0.83","67:3,0.39","71:1,0.7","79:5,0.57","88:7,0.59","90:8,0.55","94:4,0.75","97:2,0.51","104:2,0.47","113:8,0.62","120:5,0.33","128:7,0.89"
"1:1,0.3","5:5,0.87","9:3,0.76","21:5,0.5","23:1,0.6","25:7,0.41","36:7,0.62","39:4,0.6","42:6,0.34","50:1,0.56","56:8,0.85","57:6,0.65","67:7,0.73","71:7,0.47","79:7,0.31","88:6,0.4","90:8,0.8","94:6,0.35","97:2,0.45","104:7,0.61","108:7,0.82","120:6,0.43","128:3,0.35"
"1:2,0.62","5:4,0.84","9:6,0.51","21:3,0.44","23:3,0.45","25:3,0.66","36:2,0.41","39:8,0.58","42:8,0.71","44:6,0.82","56:6,0.39","57:2,0.58","67:5,0.78","71:1,0.51","79:2,0.49","88:8,0.32","90:6,0.8","94:2,0.69","97:2,0.67","104:9,0.53","113:9,0.87","120:1,0.57","128:4,0.49"
"1:8,0.6","5:1,0.57","9:6,0.89","21:2,0.6","23:3,0.32","25:8,0.89","36:9,0.61","39:3,0.52","42:5,0.53","44:6,0.71","56:1,0.77","57:6,0.34","67:2,0.63","71:7,0.47","79:3,0.5","88:3,0.85","90:5,0.88","94:7,0.38","97:2,0.49","104:7,0.69","108:6,0.79","120:9,0.36","128:7,0.61"
"1:1,0.52","5:3,0.87","9:6,0.87","21:8,0.42","23:3,0.39","26:5,0.81","36:2,0.6","39:9,0.8","42:9,0.32","53:6,0.83","56:3,0.66","57:3,0.4","67:3,0.73","71:1,0.55","79:4,0.88","88:5,0.75","90:8,0.44","94:4,0.49","97:8,0.84","104:4,0.52","113:8,0.58","120:5,0.77","128:9,0.62"
"1:3,0.79","5:3,0.82","9:1,0.68","21:6,0.63","23:2,0.73","26:9,0.81","36:5,0.35","39:3,0.46","42:9,0.39","53:7,0.36","56:4,0.79","57:6,0.86","67:7,0.33","71:9,0.52","79:7,0.9","88:6,0.43","90:6,0.86","94:6,0.77","97:3,0.32","104:8,0.72","108:3,0.76","120:8,0.57","128:1,0.84"
